STT,GIỐNG NHAU - LOẠI,GIỐNG NHAU - NHU CẦU,GIỐNG NHAU - TỈNH,QUẬN HUYỆN,PHƯỜNG XÃ,GIÁ - TRIỆU ĐỒNG,NGÀY ĐĂNG,HÃNG XE,DÒNG XE,NĂM SẢN XUẤT,DUNG TÍCH,KIỂU XE,SỐ KM ĐÃ ĐI
1151,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 9,51,13/11/2019,Honda,Vario,2016,100 - 175 ,Tay ga,8
1152,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 9,51,13/11/2019,Honda,Vario,2016,100 - 175 ,Tay ga,8
1153,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 9,51,13/11/2019,Honda,Vario,2016,100 - 175 ,Tay ga,8
1154,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 9,51,13/11/2019,Honda,Vario,2016,100 - 175 ,Tay ga,8
1155,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 9,51,13/11/2019,Honda,Vario,2016,100 - 175 ,Tay ga,8
1156,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 9,51,13/11/2019,Honda,Vario,2016,100 - 175 ,Tay ga,8
1157,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,18,13/11/2019,Yamaha,Sirius,2016,100 - 175 ,Xe số,19
1158,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,18,13/11/2019,Yamaha,Sirius,2016,100 - 175 ,Xe số,19
1159,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,18,13/11/2019,Yamaha,Sirius,2016,100 - 175 ,Xe số,19
1160,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,18,13/11/2019,Yamaha,Sirius,2016,100 - 175 ,Xe số,19
1161,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,18,13/11/2019,Yamaha,Sirius,2016,100 - 175 ,Xe số,19
1162,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,18,13/11/2019,Yamaha,Sirius,2016,100 - 175 ,Xe số,19
1163,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,,75,13/11/2019,Honda,SH,2017,100 - 175 ,Tay ga,8
1164,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,,75,13/11/2019,Honda,SH,2017,100 - 175 ,Tay ga,8
1165,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,,75,13/11/2019,Honda,SH,2017,100 - 175 ,Tay ga,8
1166,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,,75,13/11/2019,Honda,SH,2017,100 - 175 ,Tay ga,8
1167,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,,75,13/11/2019,Honda,SH,2017,100 - 175 ,Tay ga,8
1168,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,,75,13/11/2019,Honda,SH,2017,100 - 175 ,Tay ga,8
1169,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,6,13/11/2019,Hãng khác,Dòng khác,2008,100 - 175 ,Tay ga,9411
1170,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,6,13/11/2019,Hãng khác,Dòng khác,2008,100 - 175 ,Tay ga,9411
1171,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,6,13/11/2019,Hãng khác,Dòng khác,2008,100 - 175 ,Tay ga,9411
1172,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,6,13/11/2019,Hãng khác,Dòng khác,2008,100 - 175 ,Tay ga,9411
1173,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,6,13/11/2019,Hãng khác,Dòng khác,2008,100 - 175 ,Tay ga,9411
1174,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,6,13/11/2019,Hãng khác,Dòng khác,2008,100 - 175 ,Tay ga,9411
1175,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,34.6,13/11/2019,Piaggio,Primavera,2014,100 - 175 ,Tay ga,15
1176,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,34.6,13/11/2019,Piaggio,Primavera,2014,100 - 175 ,Tay ga,15
1177,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,34.6,13/11/2019,Piaggio,Primavera,2014,100 - 175 ,Tay ga,15
1178,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,34.6,13/11/2019,Piaggio,Primavera,2014,100 - 175 ,Tay ga,15
1179,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,34.6,13/11/2019,Piaggio,Primavera,2014,100 - 175 ,Tay ga,15
1180,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,34.6,13/11/2019,Piaggio,Primavera,2014,100 - 175 ,Tay ga,15
1181,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,34.6,13/11/2019,Piaggio,Primavera,2014,100 - 175 ,Tay ga,15
1182,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,129,13/11/2019,Suzuki,Sport / Xipo,1998,100 - 175 ,Xe số,26525
1183,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,58.6,13/11/2019,Honda,Dòng khác,1993,Trên 175 ,Tay côn/Moto,25652
1184,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,162,13/11/2019,Honda,SH,2010,100 - 175 ,Tay ga,52652
1185,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,129,13/11/2019,Suzuki,Sport / Xipo,1998,100 - 175 ,Xe số,26525
1186,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,58.6,13/11/2019,Honda,Dòng khác,1993,Trên 175 ,Tay côn/Moto,25652
1187,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,162,13/11/2019,Honda,SH,2010,100 - 175 ,Tay ga,52652
1188,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,129,13/11/2019,Suzuki,Sport / Xipo,1998,100 - 175 ,Xe số,26525
1189,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,58.6,13/11/2019,Honda,Dòng khác,1993,Trên 175 ,Tay côn/Moto,25652
1190,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,162,13/11/2019,Honda,SH,2010,100 - 175 ,Tay ga,52652
1191,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,129,13/11/2019,Suzuki,Sport / Xipo,1998,100 - 175 ,Xe số,26525
1192,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,58.6,13/11/2019,Honda,Dòng khác,1993,Trên 175 ,Tay côn/Moto,25652
1193,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,162,13/11/2019,Honda,SH,2010,100 - 175 ,Tay ga,52652
1194,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,129,13/11/2019,Suzuki,Sport / Xipo,1998,100 - 175 ,Xe số,26525
1195,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,58.6,13/11/2019,Honda,Dòng khác,1993,Trên 175 ,Tay côn/Moto,25652
1196,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,162,13/11/2019,Honda,SH,2010,100 - 175 ,Tay ga,52652
1197,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,129,13/11/2019,Suzuki,Sport / Xipo,1998,100 - 175 ,Xe số,26525
1198,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,2.25,13/11/2019,SYM,Attila,2007,,Tay ga,9
1199,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,,17,13/11/2019,Honda,Wave,1997,,Xe số,30
1200,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,46.999,13/11/2019,Honda,SH,2009,100 - 175 ,Tay ga,8
1201,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,1.85,13/11/2019,Yamaha,Jupiter,2005,,Xe số,9
1202,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,1.85,13/11/2019,Kawasaki,Max,2010,,Xe số,10
1203,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,2.25,13/11/2019,Yamaha,Dòng khác,2009,,Tay ga,9
1204,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,2.25,13/11/2019,Yamaha,Dòng khác,2009,,Tay ga,9
1205,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 2,35,13/11/2019,Hãng khác,Dòng khác,2012,,Tay ga,26262
1206,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 2,35,13/11/2019,Hãng khác,Dòng khác,2012,,Tay ga,26262
1207,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,98.999,13/11/2019,Honda,SH,2009,100 - 175 ,Tay ga,9899
1208,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,98.999,13/11/2019,Honda,SH,2009,100 - 175 ,Tay ga,9899
1209,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,98.999,13/11/2019,Honda,SH,2009,100 - 175 ,Tay ga,9899
1210,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 8,55,13/11/2019,Yamaha,Sirius,2018,100 - 175 ,Xe số,1
1211,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 8,55,13/11/2019,Yamaha,Sirius,2018,100 - 175 ,Xe số,1
1212,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 8,55,13/11/2019,Yamaha,Sirius,2018,100 - 175 ,Xe số,1
1213,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 8,55,13/11/2019,Yamaha,Sirius,2018,100 - 175 ,Xe số,1
1214,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 8,24.999,13/11/2019,Honda,Wave,2008,50 - 100 ,Xe số,6666
1215,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 8,24.999,13/11/2019,Honda,Wave,2008,50 - 100 ,Xe số,6666
1216,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 8,24.999,13/11/2019,Honda,Wave,2008,50 - 100 ,Xe số,6666
1217,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 8,24.999,13/11/2019,Honda,Wave,2008,50 - 100 ,Xe số,6666
1218,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,9.4,13/11/2019,Honda,67,1996,100 - 175 ,Xe số,22
1219,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,9.4,13/11/2019,Honda,67,1996,100 - 175 ,Xe số,22
1220,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,9.4,13/11/2019,Honda,67,1996,100 - 175 ,Xe số,22
1221,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,9.4,13/11/2019,Honda,67,1996,100 - 175 ,Xe số,22
1222,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,9.4,13/11/2019,Honda,67,1996,100 - 175 ,Xe số,22
1223,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 2,20,13/11/2019,Honda,Dòng khác,2010,100 - 175 ,Tay côn/Moto,50
1224,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 2,20,13/11/2019,Honda,Dòng khác,2010,100 - 175 ,Tay côn/Moto,50
1225,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 2,20,13/11/2019,Honda,Dòng khác,2010,100 - 175 ,Tay côn/Moto,50
1226,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 2,20,13/11/2019,Honda,Dòng khác,2010,100 - 175 ,Tay côn/Moto,50
1227,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 2,20,13/11/2019,Honda,Dòng khác,2010,100 - 175 ,Tay côn/Moto,50
1228,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,11.9,13/11/2019,Honda,Win,2009,100 - 175 ,Tay côn/Moto,
1229,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,11.9,13/11/2019,Honda,Win,2009,100 - 175 ,Tay côn/Moto,
1230,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,11.9,13/11/2019,Honda,Win,2009,100 - 175 ,Tay côn/Moto,
1231,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,11.9,13/11/2019,Honda,Win,2009,100 - 175 ,Tay côn/Moto,
1232,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,11.9,13/11/2019,Honda,Win,2009,100 - 175 ,Tay côn/Moto,
1233,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Thọ,14.5,13/11/2019,Yamaha,Nouvo,2015,100 - 175 ,Tay ga,20
1234,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Thọ,14.5,13/11/2019,Yamaha,Nouvo,2015,100 - 175 ,Tay ga,20
1235,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Thọ,14.5,13/11/2019,Yamaha,Nouvo,2015,100 - 175 ,Tay ga,20
1236,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Thọ,14.5,13/11/2019,Yamaha,Nouvo,2015,100 - 175 ,Tay ga,20
1237,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Thọ,14.5,13/11/2019,Yamaha,Nouvo,2015,100 - 175 ,Tay ga,20
1238,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Thọ,14.5,13/11/2019,Yamaha,Nouvo,2015,100 - 175 ,Tay ga,20
1239,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,37.6,13/11/2019,Honda,SH Mode,2018,100 - 175 ,Tay ga,8
1240,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,37.6,13/11/2019,Honda,SH Mode,2018,100 - 175 ,Tay ga,8
1241,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,37.6,13/11/2019,Honda,SH Mode,2018,100 - 175 ,Tay ga,8
1242,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,37.6,13/11/2019,Honda,SH Mode,2018,100 - 175 ,Tay ga,8
1243,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,37.6,13/11/2019,Honda,SH Mode,2018,100 - 175 ,Tay ga,8
1244,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,37.6,13/11/2019,Honda,SH Mode,2018,100 - 175 ,Tay ga,8
1245,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 16,17,13/11/2019,Honda,Wave,2018,100 - 175 ,Xe số,32
1246,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 16,17,13/11/2019,Honda,Wave,2018,100 - 175 ,Xe số,32
1247,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 16,17,13/11/2019,Honda,Wave,2018,100 - 175 ,Xe số,32
1248,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 15,26,13/11/2019,Yamaha,Exciter,2017,100 - 175 ,Tay côn/Moto,123
1249,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,21.5,13/11/2019,Yamaha,Nouvo,2016,100 - 175 ,Tay ga,5
1250,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 2,41.9,13/11/2019,Honda,CB,2019,100 - 175 ,Tay côn/Moto,25
1251,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,Phường 5,22,13/11/2019,Honda,Air Blade,2010,100 - 175 ,Tay ga,29
1252,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,9.8,13/11/2019,Honda,Wave,2011,,Xe số,100
1253,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,85,13/11/2019,Honda,SH,2009,100 - 175 ,Tay ga,1688
1254,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,1.7,13/11/2019,Kawasaki,Max,2005,50 - 100 ,Xe số,
1255,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà A,20.8,13/11/2019,Honda,Wave,2017,100 - 175 ,Xe số,1
1256,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,16.3,13/11/2019,Piaggio,Vespa,2011,,Tay ga,210
1257,Xe máy,Cần bán,Hồ Chí Minh,Quận 4,,157.5,13/11/2019,Honda,SH,2010,100 - 175 ,Tay ga,12
1258,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 25,13,13/11/2019,Yamaha,Exciter,2011,,Tay ga,1
1259,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,31.3,13/11/2019,Honda,PS,2007,100 - 175 ,Tay ga,123456
1260,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,1.4,13/11/2019,SYM,Attila,2004,100 - 175 ,Tay ga,45
1261,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 3,28.8,13/11/2019,Honda,Winner,2017,,Tay côn/Moto,12345
1262,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,,15,13/11/2019,Honda,Future,2001,100 - 175 ,Xe số,7139
1263,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,Phường Bến Nghé,362,13/11/2019,Triumph,Triumph Bonneville T100,2018,Trên 175 ,Tay côn/Moto,74
1264,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,7.5,13/11/2019,Suzuki,Hayate,2011,,Tay ga,59
1265,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 17,8.4,13/11/2019,Yamaha,Nouvo,2010,100 - 175 ,Tay ga,2563
1266,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 13,19,13/11/2019,Honda,Scoopy,2012,Dưới 50 ,Tay ga,2
1267,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà B,21.5,13/11/2019,Honda,Air Blade,2010,100 - 175 ,Tay ga,40
1268,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 10,51,13/11/2019,Honda,Sonic,2019,100 - 175 ,Xe số,51
1269,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 13,180,13/11/2019,Honda,SH,2012,100 - 175 ,Tay ga,10
1270,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường An Phú Đông,12.5,13/11/2019,Honda,Win,2019,100 - 175 ,Tay côn/Moto,
1271,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Bình Thuận,6.9,13/11/2019,Suzuki,Hayate,2012,100 - 175 ,Tay ga,49
1272,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Xuân,12.3,13/11/2019,Honda,Air Blade,2009,100 - 175 ,Tay ga,18
1273,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 16,64,13/11/2019,Honda,SH,2016,100 - 175 ,Tay ga,10
1274,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,10.2,13/11/2019,Honda,Click,2007,,Tay ga,59
1275,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 17,3.5,13/11/2019,SYM,Attila,2009,100 - 175 ,Tay ga,11
1276,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 14,11.7,13/11/2019,Honda,Lead,2010,100 - 175 ,Tay ga,26395
1277,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,4.9,13/11/2019,Honda,Wave,2009,,Xe số,59
1278,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Tam Bình,8.9,13/11/2019,Honda,Wave,2003,100 - 175 ,Xe số,45
1279,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 17,6.5,13/11/2019,Yamaha,Mio,2006,100 - 175 ,Tay ga,2563
1280,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,,51,13/11/2019,Honda,Air Blade,2018,100 - 175 ,Tay ga,9
1281,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,72,13/11/2019,Honda,PCX,2016,100 - 175 ,Tay ga,11
1282,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 3,2.8,13/11/2019,Kawasaki,Max,2001,100 - 175 ,Xe số,12345
1283,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,36,13/11/2019,Piaggio,Primavera,2015,100 - 175 ,Tay ga,19
1284,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,17,13/11/2019,SYM,Attila,2015,100 - 175 ,Tay ga,8
1285,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,17,13/11/2019,SYM,Attila,2015,100 - 175 ,Tay ga,8
1286,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc A,7.5,13/11/2019,Yamaha,Nouvo,2009,100 - 175 ,Tay ga,99999
1287,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc A,7.5,13/11/2019,Yamaha,Nouvo,2009,100 - 175 ,Tay ga,99999
1288,Xe máy,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Hiệp Phước,45,13/11/2019,Piaggio,Vespa,2015,100 - 175 ,Tay ga,14
1289,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,18.5,13/11/2019,Yamaha,Nozza,2016,100 - 175 ,Tay ga,9
1290,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 13,182,13/11/2019,Honda,SH,2011,,Xe số,10
1291,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,110,13/11/2019,Honda,Shadow,1996,Trên 175 ,Tay côn/Moto,56
1292,Xe máy,Cần bán,Hồ Chí Minh,Quận 4,Phường 10,26,13/11/2019,Honda,Air Blade,2015,100 - 175 ,Tay ga,15
1293,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,3.25,13/11/2019,SYM,Air Blade,2009,,Xe số,8
1294,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 17,11,13/11/2019,Honda,Dòng khác,2019,100 - 175 ,Tay côn/Moto,
1295,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,1.95,13/11/2019,Honda,Dòng khác,2005,,Xe số,9
1296,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,,65,13/11/2019,Honda,Air Blade,2012,,Tay ga,10
1297,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,1.85,13/11/2019,SYM,Attila,2007,,Tay ga,8
1298,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Bà Điểm,18,13/11/2019,Honda,Vision,2015,100 - 175 ,Tay ga,28
1299,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo,8.5,13/11/2019,Yamaha,Mio,2011,100 - 175 ,Tay ga,25
1300,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,,4.5,13/11/2019,Honda,Wave,2007,,Xe số,84848
1301,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 8,7.5,13/11/2019,Yamaha,Sirius,2012,100 - 175 ,Xe số,15
1302,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,13.5,13/11/2019,Suzuki,Axelo,2016,100 - 175 ,Tay côn/Moto,5
1303,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 24,22.8,13/11/2019,Piaggio,Vespa,2013,,Tay ga,20
1304,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,18.5,13/11/2019,Piaggio,Liberty,2014,,Tay ga,25
1305,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 7,15,13/11/2019,Honda,Vision,2011,100 - 175 ,Tay ga,50
1306,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 7,11.8,13/11/2019,Honda,Wave,2011,100 - 175 ,Xe số,25
1307,Xe máy,Cần bán,Hồ Chí Minh,Quận 4,Phường 1,69.69,13/11/2019,Honda,SH,2008,100 - 175 ,Tay ga,10
1308,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 7,189,13/11/2019,Honda,SH,2011,100 - 175 ,Tay ga,16
1309,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,,45.8,13/11/2019,Honda,MSX 125,2019,100 - 175 ,Tay côn/Moto,5
1310,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,50.9,13/11/2019,Honda,Vario,2018,100 - 175 ,Tay ga,10
1311,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,,25,13/11/2019,Honda,SH,2006,,Tay ga,25689
1312,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,11,13/11/2019,Yamaha,Nouvo,2012,100 - 175 ,Tay ga,100
1313,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,15.9,13/11/2019,Honda,Air Blade,2012,,Tay ga,8686
1314,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,13.8,13/11/2019,Honda,Wave,2013,,Xe số,30
1315,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,,6.6,13/11/2019,Hãng khác,Dòng khác,2019,100 - 175 ,Xe số,
1316,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,,32.5,13/11/2019,Honda,Winner,2017,100 - 175 ,Xe số,18
1317,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,10.8,13/11/2019,Honda,Wave,2011,100 - 175 ,Xe số,123456
1318,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Bà Điểm,96,13/11/2019,Honda,SH,2012,50 - 100 ,Tay ga,5454
1319,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,50,13/11/2019,Honda,PS,2008,100 - 175 ,Tay ga,16
1320,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,,1.239,13/11/2019,Honda,MSX 125,2017,100 - 175 ,Tay côn/Moto,5999
